name,group,Rank,Rating,Reviews,Min Installs,max_installs
Friendly Fire!,Arcade,287,4.17,71749,1000000,5000000
Battle Beach,Arcade,288,4.4,55850,1000000,5000000
Need for Speed Most Wanted,Racing,289,3.84,17983,500000,1000000
Noom Weight Loss Coach,Health & Fitness,290,4.32,117796,10000000,50000000
Cut the Rope 2,Puzzle,291,4.3,672452,10000000,50000000
Slots Oz - slot machines,Casino,292,4.16,4469,100000,500000
4 Pics 1 Word,Word,293,4.49,653182,10000000,50000000
The Oregon Trail: Settler,Casual,294,4.46,212643,5000000,10000000
Photo Editor by Aviary,Photography,295,4.48,801335,50000000,100000000
Meow Meow Star Acres,Educational,296,4.35,38342,500000,1000000
Slots Zeus's Way:slot machines,Casino,297,4.28,10670,500000,1000000
Slots Journey 2,Casino,298,4.37,21034,100000,500000
Dream Fish,Casual,299,4.36,20466,500000,1000000
NCLEX RN Mastery,Education,300,4.72,122,1000,5000
Dungeon Hunter 4,Role Playing,301,4.38,482544,5000000,10000000
Motor World Car Factory,Racing,302,4.34,74301,1000000,5000000
Solitaire Arena,Card,303,4.32,26288,500000,1000000
Restaurant Story,Casual,304,4.32,268516,10000000,50000000
The Gate - Free RTS CCG game,Action,305,3.99,15820,100000,500000
Chicken Boy,Action,306,4.11,28544,1000000,5000000
Survivalcraft,Action,307,4.39,26849,500000,1000000
Big Barn World Social Farming,Casual,308,4.32,2420,50000,100000
GT Racing 2: The Real Car Exp,Racing,309,4.31,577181,10000000,50000000
ONLINE,Puzzle,310,3.93,1185,100000,500000
The Tribez & Castlez,Arcade,311,4.19,52782,500000,1000000
KakaoTalk: Free Calls & Text,Communication,312,4.36,1628066,100000000,500000000
Exchange by TouchDown Key,Business,313,4.42,6184,100000,500000
Sonic Dash,Arcade,314,4.41,818426,10000000,50000000
App for Kakao,Role Playing,315,4.43,1164752,5000000,10000000
Dropbox,Productivity,316,4.51,655202,100000000,500000000
Smash Hit,Arcade,317,4.43,1131443,10000000,50000000
az for Kakao,Board,318,4.22,1231382,10000000,50000000
textPlus Free Text + Calls,Social,319,4.17,211683,10000000,50000000
"Skout - Meet, Chat, Friend",Social,320,4.15,289130,10000000,50000000
Modern Combat 4: Zero Hour,Action,321,4.43,134151,500000,1000000
Geocaching,Entertainment,322,4.24,14401,100000,500000
Dice With Buddies,Board,323,4.46,5438,50000,100000
Disney Hidden Worlds,Casual,324,3.84,69795,1000000,5000000
The Sims ,Simulation,325,3.38,14247,100000,500000
PBA Bowling Challenge,Sports,326,4.45,123177,5000000,10000000
Dragon Era - Slots Card RPG,Role Playing,327,4.08,4522,100000,500000
Nova Launcher Prime,Personalization,328,4.77,76059,500000,1000000
Terraria.,Adventure,329,4.39,19402,100000,500000
Episode - Choose Your Story,Simulation,330,4.01,61410,1000000,5000000
Monster Match,Puzzle,331,4.23,23613,1000000,5000000
Badoo - Meet New People,Social,332,4.47,1076965,10000000,50000000
Odd Socks,Family,333,4.26,20595,500000,1000000
Village Life: Love & Babies,Adventure,334,4.2,10806,100000,500000
Slots Bash - Free Casino,Casino,335,4.07,8094,500000,1000000
Words of Wonder,Word,336,3.94,26009,1000000,5000000
Slots Paradise,Casino,337,4.31,12029,100000,500000
NBA 2K14,Sports,338,4.18,4323,10000,50000
Reign of Summoners 2014,Card,339,3.86,1607,100000,500000
Poweramp Full Version Unlocker,Music & Audio,340,4.67,94110,1000000,5000000
Torque Pro (OBD 2 & Car),Communication,341,4.69,23042,100000,500000
Treasure Diving,Adventure,342,4.64,95526,1000000,5000000
Dark Avenger,Role Playing,343,4.49,355553,5000000,10000000
Disco Zoo,Casual,344,4.48,39950,100000,500000
Plex for Android,Media & Video,345,4.36,15328,100000,500000
Slots Social Casino,Casino,346,4.05,57480,5000000,10000000
Spy Wars,Strategy,347,4.19,17622,100000,500000
